Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
11,rayyan-115937708,10.1097/00001756-199305000-00015,Excluído,2 - Não apresenta dados originais,,Nathalia Fernandes,
12,rayyan-115934695,10.1021/cn100069c,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Fernandes,
13,rayyan-115924362,10.3892/etm.2015.2921 ,Excluído,3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida,,Nathalia Fernandes,
14,rayyan-115933087,10.1016/j.bmc.2014.11.031 ,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
15,rayyan-115929242,10.1006/bbrc.2001.4604 ,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
16,rayyan-115921669,10.1155/2020/9523758,Incluído,,,Nathalia Fernandes,16
17,rayyan-115936458,10.1046/j.1471-4159.2003.01855.x ,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
18,rayyan-115925672,10.1097/ALN.0b013e31828afc16 ,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
19,rayyan-115936504,10.1038/sj.mp.4001208 ,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
20,rayyan-115923332, 10.1016/j.ejmech.2018.02.023 ,Incluído,,,Nathalia Fernandes,17
21,rayyan-115936056,,,,,Nathalia Fernandes,
22,rayyan-115931565,10.3233/JAD-180910 ,,,,Nathalia Fernandes,
23,rayyan-115936214,https://www.koreascience.or.kr/article/JAKO200403039590741.page,Excluído,4 - Não usa célula SHSY-5Y como modelo,"Lack doi
",Nathalia Fernandes,
24,rayyan-115928102,10.1007/s11064-005-9006-6 ,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
25,rayyan-115923118,10.1021/acs.langmuir.8b01196,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
26,rayyan-115937491,10.1172/JCI118672,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
27,rayyan-115932729,10.1016/j.bbamem.2015.12.009 ,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Fernandes,
